Datetime	flow
1923	10	01	587
1923	10	02	587
1923	10	03	587
1923	10	04	587
1923	10	05	587
1923	10	06	587
1923	10	07	587
1923	10	08	587
1923	10	09	587
1923	10	10	587
1923	10	11	587
1923	10	12	587
1923	10	13	587
1923	10	14	587
1923	10	15	587
1923	10	16	587
1923	10	17	587
1923	10	18	587
1923	10	19	587
1923	10	20	587
1923	10	21	587
1923	10	22	587
1923	10	23	587
1923	10	24	587
1923	10	25	587
1923	10	26	587
1923	10	27	587
1923	10	28	587
1923	10	29	587
1923	10	30	587
1923	10	31	587
1923	11	01	644
1923	11	02	644
1923	11	03	644
1923	11	04	644
1923	11	05	644
1923	11	06	644
1923	11	07	644
1923	11	08	644
1923	11	09	644
1923	11	10	644
1923	11	11	644
1923	11	12	644
1923	11	13	644
1923	11	14	644
1923	11	15	644
1923	11	16	644
1923	11	17	644
1923	11	18	644
1923	11	19	644
1923	11	20	644
1923	11	21	644
1923	11	22	644
1923	11	23	644
1923	11	24	644
1923	11	25	644
1923	11	26	644
1923	11	27	644
1923	11	28	644
1923	11	29	644
1923	11	30	644
1923	12	01	620
1923	12	02	620
1923	12	03	620
1923	12	04	620
1923	12	05	620
1923	12	06	620
1923	12	07	620
1923	12	08	620
1923	12	09	620
1923	12	10	620
1923	12	11	620
1923	12	12	620
1923	12	13	620
1923	12	14	620
1923	12	15	620
1923	12	16	620
1923	12	17	620
1923	12	18	620
1923	12	19	620
1923	12	20	620
1923	12	21	620
1923	12	22	620
1923	12	23	620
1923	12	24	620
1923	12	25	620
1923	12	26	620
1923	12	27	620
1923	12	28	620
1923	12	29	620
1923	12	30	620
1923	12	31	620
1924	01	01	500
1924	01	02	500
1924	01	03	500
1924	01	04	500
1924	01	05	500
1924	01	06	500
1924	01	07	500
1924	01	08	500
1924	01	09	500
1924	01	10	500
1924	01	11	500
1924	01	12	500
1924	01	13	500
1924	01	14	500
1924	01	15	500
1924	01	16	500
1924	01	17	500
1924	01	18	500
1924	01	19	500
1924	01	20	500
1924	01	21	500
1924	01	22	500
1924	01	23	500
1924	01	24	500
1924	01	25	500
1924	01	26	500
1924	01	27	500
1924	01	28	500
1924	01	29	500
1924	01	30	500
1924	01	31	500
1924	02	01	400
1924	02	02	400
1924	02	03	400
1924	02	04	400
1924	02	05	400
1924	02	06	400
1924	02	07	400
1924	02	08	400
1924	02	09	400
1924	02	10	400
1924	02	11	400
1924	02	12	400
